Agency,Annual_Contract_Revenue,State,Country,Congressional_District,Contracting_Agency,Contracting_Office,DUNS,Contract_Date,Vendor
BUREAU OF ENGRAVING AND PRINTING,1200000,VIRGINIA,USA,8,BUREAU OF ENGRAVING AND PRINTING,DEPT OF TREAS/BUREAU OF ENGRAV AND PRINT,17422341,2013,CMMD ENTERPRISES INC
BUREAU OF INDIAN AFFAIRS,900000000,ARIZONA,USA,5,BUREAU OF INDIAN AFFAIRS,WESTERN REGIONAL OFFICE,13475020,2011,"EMPIRE SOUTHWEST, LLC"
BUREAU OF INDIAN AFFAIRS,91245544,ARIZONA,USA,1,BUREAU OF INDIAN AFFAIRS,CENTRAL OFFICE,800021990,2012,NAVAJO TRIBAL UTILITY AUTHORITY COMPANY
BUREAU OF INDIAN AFFAIRS,70284992,ARIZONA,USA,1,BUREAU OF INDIAN AFFAIRS,CENTRAL OFFICE,81685620,2011,"BRADCO, INC."
BUREAU OF INDIAN AFFAIRS,54315000,DISTRICT OF COLUMBIA,USA,0,BUREAU OF INDIAN AFFAIRS,CENTRAL OFFICE,147218333,2011,"PRUDENTIAL RELOCATION, INC."
BUREAU OF LABOR STATISTICS,700000000,VIRGINIA,USA,8,OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT,OFFICE OF ADMINISTRATIVE SERVICES REG IX,626578041,2011,KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED
BUREAU OF LAND MANAGEMENT,2213644032,ILLINOIS,USA,10,BUREAU OF LAND MANAGEMENT,ID - IDAHO STATE OFFICE,26157235,2012,CDW GOVERNMENT LLC
BUREAU OF LAND MANAGEMENT,1468700032,MICHIGAN,USA,2,BUREAU OF LAND MANAGEMENT,AK ALASKA FIRE SERVICE,6012801,2012,"HERMAN MILLER, INC"
BUREAU OF LAND MANAGEMENT,1000000000,ILLINOIS,USA,7,BUREAU OF LAND MANAGEMENT,WYOMING STATE OFFICE,779935295,2011,"COMPSYCH EMPLOYEE ASSISTANCE PROGRAMS, INC"
BUREAU OF LAND MANAGEMENT,400000000,MISSOURI,USA,1,BUREAU OF LAND MANAGEMENT,MT-MONTANA STATE OFFICE,85271638,2012,ICL PERFORMANCE PRODUCTS LIMITED PARTNERSHIP
BUREAU OF LAND MANAGEMENT,400000000,MISSOURI,USA,1,BUREAU OF LAND MANAGEMENT,CO-UNCOMPAHGRE FIELD OFFICE,85271638,2012,ICL PERFORMANCE PRODUCTS LIMITED PARTNERSHIP
BUREAU OF LAND MANAGEMENT,400000000,MISSOURI,USA,1,BUREAU OF LAND MANAGEMENT,MT-MILES CITY FIELD OFFICE,85271638,2012,ICL PERFORMANCE PRODUCTS LIMITED PARTNERSHIP
BUREAU OF LAND MANAGEMENT,141000000,UTAH,USA,1,BUREAU OF LAND MANAGEMENT,NV-ELKO FIELD OFFICE,9092396,2012,"SMITH POWER PRODUCTS, INC."
BUREAU OF LAND MANAGEMENT,135000000,WASHINGTON,USA,3,BUREAU OF LAND MANAGEMENT,OR-OREGON STATE OFFICE,27705367,2011,"ALBINA HOLDINGS, INC."
BUREAU OF LAND MANAGEMENT,69000000,OREGON,USA,4,BUREAU OF LAND MANAGEMENT,OR-SPOKANE DISTRICT OFFICE,612927137,2011,COASTAL FARM AND HOME SUPPLY CO.
BUREAU OF LAND MANAGEMENT,51525000,WASHINGTON,USA,3,BUREAU OF LAND MANAGEMENT,OR-SPOKANE DISTRICT OFFICE,808883854,2011,"STATE PATROL, WASHINGTON DEPARTMENT OF"
BUREAU OF LAND MANAGEMENT,30000000,MARYLAND,USA,3,BUREAU OF LAND MANAGEMENT,NV - NEVADA STATE OFFICE,926011032,2012,"ACG SYSTEMS, INC."
BUREAU OF LAND MANAGEMENT,24000000,NEW MEXICO,USA,1,BUREAU OF LAND MANAGEMENT,NM-CARLSBAD FIELD OFFICE,35688399,2012,HOLMANS INCORPORATED
BUREAU OF LAND MANAGEMENT,10000000,ALABAMA,USA,,BUREAU OF LAND MANAGEMENT,FA - NATIONAL INTERAGENCY FIRE CENTER,57208233,2012,HENDERSON SEWING MACHINE CO INC
BUREAU OF LAND MANAGEMENT,7700000,OREGON,USA,2,BUREAU OF LAND MANAGEMENT,OR-OREGON STATE OFFICE,178309600,2011,SOUTH BAY TIMBER INCORPORATED
BUREAU OF LAND MANAGEMENT,7400000,COLORADO,USA,2,BUREAU OF LAND MANAGEMENT,NOC INFRASTRUCTURE,960577492,2011,"NEXGEN TECHNOLOGIES, INC."
BUREAU OF LAND MANAGEMENT,7014713,PENNSYLVANIA,USA,7,BUREAU OF LAND MANAGEMENT,WY-WORLAND FIELD OFFICE,69889475,2012,JCPDS INTERNATIONAL CENTRE FOR DIFFRACTION DATA
BUREAU OF LAND MANAGEMENT,5000000,ALASKA,USA,0,BUREAU OF LAND MANAGEMENT,AK-ALASKA STATE OFFICE,90006417,2011,"ENVIRONMENTAL COMPLIANCE CONSULTANTS, INC"
BUREAU OF LAND MANAGEMENT,4263000,COLORADO,USA,6,BUREAU OF LAND MANAGEMENT,NOC INFRASTRUCTURE,835705195,2011,"PREMIER DATA SERVICES, INC."
BUREAU OF LAND MANAGEMENT,4263000,COLORADO,USA,6,BUREAU OF LAND MANAGEMENT,NOC INFRASTRUCTURE,835705195,2011,"PREMIER DATA SERVICES, INC."
BUREAU OF LAND MANAGEMENT,4263000,COLORADO,USA,6,BUREAU OF LAND MANAGEMENT,NOC INFRASTRUCTURE,835705195,2011,"PREMIER DATA SERVICES, INC."
BUREAU OF LAND MANAGEMENT,4000000,IDAHO,USA,2,BUREAU OF LAND MANAGEMENT,FA - NATIONAL INTERAGENCY FIRE CENTER,69805836,2011,MACHINERY WEST INC
BUREAU OF LAND MANAGEMENT,4000000,TEXAS,USA,12,BUREAU OF LAND MANAGEMENT,FA - NATIONAL INTERAGENCY FIRE CENTER,100540710,2012,"SNF, INC."
BUREAU OF LAND MANAGEMENT,2839161,COLORADO,USA,3,BUREAU OF LAND MANAGEMENT,SALT LAKE FIELD OFFICE,103621319,2011,"WEST RANGE RECLAMATION, LLC"
BUREAU OF LAND MANAGEMENT,2500000,KENTUCKY,USA,3,BUREAU OF LAND MANAGEMENT,FA - NATIONAL INTERAGENCY FIRE CENTER,942694308,2011,"ALL SAFE INDUSTRIES, INC."
BUREAU OF LAND MANAGEMENT,2413170,IDAHO,USA,1,BUREAU OF LAND MANAGEMENT,ID-BOISE DISTRICT OFFICE,181936493,2012,EXTENDO BED COMPANY INC
BUREAU OF LAND MANAGEMENT,2000000,IDAHO,USA,2,BUREAU OF LAND MANAGEMENT,UT-MOAB FIELD OFFICE,804417876,2011,"CNU CONTRACTING, INC."
BUREAU OF LAND MANAGEMENT,1850000,NEW YORK,USA,8,BUREAU OF LAND MANAGEMENT,NV - NEVADA STATE OFFICE,784141384,2012,PREMIER AND COMPANIES INCORPORATED
BUREAU OF LAND MANAGEMENT,1750000,OREGON,USA,3,BUREAU OF LAND MANAGEMENT,CO - COLORADO STATE OFFICE,785579947,2011,KADRI INTERNATIONAL CO DBA VALUECAD
BUREAU OF LAND MANAGEMENT,1600000,ILLINOIS,USA,16,BUREAU OF LAND MANAGEMENT,OR-COOS BAY DISTRICT OFFICE,25759234,2011,CEDAR FOREST PRODUCTS COMPANY
BUREAU OF LAND MANAGEMENT,1450759,WYOMING,USA,0,BUREAU OF LAND MANAGEMENT,WY-WORLAND FIELD OFFICE,790013846,2011,"BAIRCO CONSTRUCTION, INC."
BUREAU OF LAND MANAGEMENT,1145249,MONTANA,USA,0,BUREAU OF LAND MANAGEMENT,MT-MONTANA STATE OFFICE,965873318,2011,NORTHERN INDUSTRIAL HYGIENE INC
BUREAU OF LAND MANAGEMENT,1000000,KANSAS,USA,4,BUREAU OF LAND MANAGEMENT,NOC SERVICE & SUPPLIES ACQUISITION BRANCH,127764764,2011,"GRAND EAGLE SUMMIT, LLC"
BUREAU OF LAND MANAGEMENT,757852,OREGON,USA,4,BUREAU OF LAND MANAGEMENT,OR-COOS BAY DISTRICT OFFICE,9619701,2011,KINCHELOE&SONS INC
BUREAU OF LAND MANAGEMENT,757852,OREGON,USA,4,BUREAU OF LAND MANAGEMENT,OR-COOS BAY DISTRICT OFFICE,9619701,2011,KINCHELOE&SONS INC
BUREAU OF LAND MANAGEMENT,750000,NEW MEXICO,USA,1,BUREAU OF LAND MANAGEMENT,ID-SALMON FIELD OFFICE,809239205,2011,"ECOSYSTEM MANAGEMENT, INC"
BUREAU OF LAND MANAGEMENT,640000,MONTANA,USA,0,BUREAU OF LAND MANAGEMENT,CO - COLORADO STATE OFFICE,825178606,2012,BITTERROOT SERVICES&TECHNOLOGY LLC
BUREAU OF LAND MANAGEMENT,400000,MONTANA,USA,0,BUREAU OF LAND MANAGEMENT,MT-LEWISTOWN FIELD OFFICE,967343356,2011,"BISHOP, INC."
BUREAU OF LAND MANAGEMENT,250000,UTAH,USA,3,BUREAU OF LAND MANAGEMENT,SALT LAKE FIELD OFFICE,794257964,2011,DELTA GARBAGE SERVICE INC
BUREAU OF LAND MANAGEMENT,200000,ARIZONA,USA,2,BUREAU OF LAND MANAGEMENT,ARIZONA STATE OFFICE,149098220,2012,CSC ELECTRIC LLC
BUREAU OF LAND MANAGEMENT,151000,ARIZONA,USA,2,BUREAU OF LAND MANAGEMENT,ID-SALMON FIELD OFFICE,88057158,2012,BSE PERFORMANCE LLC
BUREAU OF LAND MANAGEMENT,100000,NEVADA,USA,3,BUREAU OF LAND MANAGEMENT,NV-LAS VEGAS FIELD OFFICE,15233242,2012,"EDGECO, INC."
BUREAU OF OCEAN ENERGY MANAGEMENT,188055264,NEW MEXICO,USA,1,BUREAU OF OCEAN ENERGY MANAGEMENT,ACQUISITION MANAGEMENT DIVISION,97967608,2011,"APPLIED RESEARCH ASSOCIATES, INC."
BUREAU OF RECLAMATION,30000001024,MONTANA,USA,0,BUREAU OF RECLAMATION,BILLINGS REGIONAL OFFICE,5823695,2011,"HELENA SAND&GRAVEL, INC."
BUREAU OF RECLAMATION,1500000000,NEW YORK,USA,2,BUREAU OF RECLAMATION,WYOMING AREA OFFICE,932619265,2012,"MSC INDUSTRIAL DIRECT CO., INC."
BUREAU OF RECLAMATION,1400000000,CALIFORNIA,USA,52,BUREAU OF RECLAMATION,ALBUQUERQUE AREA OFFICE,41426065,2011,"TELEDYNE RD INSTRUMENTS, INC."
BUREAU OF RECLAMATION,1101568896,ILLINOIS,USA,17,BUREAU OF RECLAMATION,BOULDER CITY REGIONAL OFFICE,5262308,2011,KONE INC.
BUREAU OF RECLAMATION,436483520,WASHINGTON,USA,5,BUREAU OF RECLAMATION,SNAKE RIVER EAST AREA OFFICE,157004896,2012,C X T INCORPORATED
BUREAU OF RECLAMATION,55000000,IDAHO,USA,2,BUREAU OF RECLAMATION,BOISE REGIONAL OFFICE,73092678,2012,"BATEMAN - HALL, INC."
BUREAU OF RECLAMATION,33000000,COLORADO,USA,7,BUREAU OF RECLAMATION,BILLINGS REGIONAL OFFICE,31988728,2011,INDUSTRIAL CHEMICALS CORPORATION
BUREAU OF RECLAMATION,20000000,ARIZONA,USA,7,BUREAU OF RECLAMATION,BOULDER CITY REGIONAL OFFICE,182643619,2012,KALAMAZOO MATERIALS INCORPORATED
BUREAU OF RECLAMATION,6000000,NEW MEXICO,USA,2,BUREAU OF RECLAMATION,ALBUQUERQUE AREA OFFICE,604374827,2011,"ZUNI ELECTRIC, INC"
BUREAU OF RECLAMATION,4700000,ARIZONA,USA,5,BUREAU OF RECLAMATION,PHOENIX AREA OFFICE,792678526,2012,ECOPLAN ASSOCIATES INCORPORATED
BUREAU OF RECLAMATION,2750000,CALIFORNIA,USA,2,BUREAU OF RECLAMATION,SACRAMENTO REGIONAL OFFICE,81274326,2012,BASIC LABORATORY INC
BUREAU OF RECLAMATION,2000000,NEW YORK,USA,14,BUREAU OF RECLAMATION,DENVER-OPERATIONS OFFICE,132158705,2012,"CRITICAL MENTION, INC"
BUREAU OF RECLAMATION,1500000,WYOMING,USA,0,BUREAU OF RECLAMATION,WYOMING AREA OFFICE,95743787,2011,JOHNSON CONTROLS INTERIORS L.L.C.
BUREAU OF RECLAMATION,1300000,SOUTH DAKOTA,USA,0,BUREAU OF RECLAMATION,BOULDER CITY REGIONAL OFFICE,122103187,2011,MID CONTINENT TESTING LAB INCORPORATED
BUREAU OF RECLAMATION,650000,NEBRASKA,USA,3,BUREAU OF RECLAMATION,BILLINGS REGIONAL OFFICE,16151123,2012,KEARNEY MOVING SERVICE
BUREAU OF RECLAMATION,616696,COLORADO,USA,2,BUREAU OF RECLAMATION,BILLINGS REGIONAL OFFICE,624971701,2012,"EAGLE, COUNTY OF"
BUREAU OF RECLAMATION,500000,COLORADO,USA,1,BUREAU OF RECLAMATION,DENVER-OPERATIONS OFFICE,185935066,2012,ALLEGIANCE CONSULTING INCORPORATED
BUREAU OF RECLAMATION,480000,ARIZONA,USA,7,BUREAU OF RECLAMATION,YUMA AREA OFFICE,961638686,2012,MISSION DISPOSAL OF YUMA
BUREAU OF RECLAMATION,470253,CALIFORNIA,USA,2,BUREAU OF RECLAMATION,NORTHERN CALIFORNIA AREA,619281061,2011,SNOW MOUNTAIN SPRING WATER
BUREAU OF RECLAMATION,400000,MONTANA,USA,0,BUREAU OF RECLAMATION,YUMA AREA OFFICE,78471457,2012,"CALLAHAN, BRUCE"
BUREAU OF RECLAMATION,350000,MONTANA,USA,0,BUREAU OF RECLAMATION,BILLINGS REGIONAL OFFICE,35212091,2012,"J H MOTORS, INC"
BUREAU OF RECLAMATION,100000,ARIZONA,USA,5,BUREAU OF RECLAMATION,BOULDER CITY REGIONAL OFFICE,38550245,2011,MARSH&ASSOCIATES LLC
BUREAU OF THE CENSUS,104000000000,VIRGINIA,USA,10,BUREAU OF THE CENSUS,DEPT OF COMM/BUREAU OF THE CENSUS,134303192,2011,HEWLETT-PACKARD COMPANY
BUREAU OF THE CENSUS,2037927040,VIRGINIA,USA,8,BUREAU OF THE CENSUS,DEPT OF COMM/BUREAU OF THE CENSUS,6928857,2011,BOOZ ALLEN HAMILTON INC
BUREAU OF THE CENSUS,7000000,CALIFORNIA,USA,27,BUREAU OF THE CENSUS,DEPT OF COMM/BUREAU OF THE CENSUS,831225128,2011,"MAJESTIC OFFICE PARK OWNER, LLC"
BUREAU OF THE FISCAL SERVICE,180000000000,NEW JERSEY,USA,7,BUREAU OF THE FISCAL SERVICE,PSB 2,968904698,2012,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
BUREAU OF THE FISCAL SERVICE,1200000000,VIRGINIA,USA,11,BUREAU OF THE FISCAL SERVICE,PSB 2,67641597,2011,GENERAL DYNAMICS INFORMATION TECHNOLOGY INCORPORATED
BUREAU OF THE FISCAL SERVICE,500000,MARYLAND,USA,4,BUREAU OF THE FISCAL SERVICE,PSB 3,160759135,2012,"ALVAREZ&ASSOCIATES, LLC"
BUREAU OF THE FISCAL SERVICE,150000,DISTRICT OF COLUMBIA,USA,0,BUREAU OF THE FISCAL SERVICE,PSB 2,190169610,2011,"ADVANTAGED SOLUTIONS, INC."
COMMODITY FUTURES TRADING COMMISSION,4700000256,NEW YORK,USA,14,COMMODITY FUTURES TRADING COMMISSION,COMMODITY FUTURES TRADING COMMISSION,809980993,2011,BLOOMBERG FINANCE L.P.
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,9474002,MASSACHUSETTS,USA,4,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,962380833,2011,GPT PROPERTIES TRUST
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,1200000,VIRGINIA,USA,11,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,84128714,2012,EAM INC
DEPARTMENTAL OFFICES,7296000000,MINNESOTA,USA,2,DEPARTMENTAL OFFICES,DEPT OF TREASURY/DO,148508286,2012,WEST PUBLISHING CORPORATION
DEPARTMENTAL OFFICES,3275000,MARYLAND,USA,3,DEPARTMENTAL OFFICES,DEPT OF TREASURY/DO,801777363,2012,ALL CLEAR BUSINESS SOLUTIONS LLC
DOD,180000000000,MASSACHUSETTS,USA,6,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT,1408509,2011,GENERAL ELECTRIC COMPANY
DOD,180000000000,NEW JERSEY,USA,7,DEPT OF THE AIR FORCE,FA3016  502 CONS CL            JBSA,968904698,2011,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
DOD,180000000000,NEW YORK,USA,2,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT MECH,2050771,2011,GE AVIATION SYSTEMS LLC
DOD,180000000000,NEW YORK,USA,25,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT,867672961,2012,"G E INSPECTION TECHNOLOGIES, LP"
DOD,180000000000,PENNSYLVANIA,USA,4,DEPT OF THE NAVY,MILITARY SEALIFT FLT SUPP CMD NORF,623852030,2011,CONVERTEAM INC.
DOD,180000000000,PENNSYLVANIA,USA,4,DEPT OF THE NAVY,MILITARY SEALIFT FLT SUPP CMD NORF,623852030,2012,CONVERTEAM INC.
DOD,180000000000,WISCONSIN,USA,5,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6580799,2011,"GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC."
DOD,150000000000,MICHIGAN,USA,3,DEPT OF THE NAVY,NAVAL RESEARCH LABORATORY,555885920,2012,GE AVIATION SYSTEMS LLC
DOD,113000000000,MARYLAND,USA,8,DEPT OF THE ARMY,W4PZ USA MED RSCH ACQUIS ACT,134303192,2011,HEWLETT-PACKARD COMPANY
DOD,113000000000,MARYLAND,USA,8,DEPT OF THE NAVY,COMMANDER,134303192,2011,HEWLETT-PACKARD COMPANY
DOD,110000000000,TEXAS,USA,12,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,43700660,2011,"TTI, INC."
DOD,99499999232,NEW JERSEY,USA,11,DEPT OF THE NAVY,NAVAL HOSPITAL PENSACOLA FL,968904698,2011,CELLCO PARTNERSHIP
DOD,99499999232,NEW JERSEY,USA,11,DEPT OF THE ARMY,W6QM MICC-FT BLISS,968904698,2011,CELLCO PARTNERSHIP
DOD,99499999232,NEW JERSEY,USA,11,DEPT OF THE NAVY,NAVSUP FLT LOG CTR NORFOLK,968904698,2011,CELLCO PARTNERSHIP
DOD,98556002304,VIRGINIA,USA,10,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),DEFENSE FINANCE AND ACCOUNTING SVC,156472011,2011,INTERNATIONAL BUSINESS MACHINES CORPORATION
DOD,93499998208,MASSACHUSETTS,USA,9,DEPT OF THE NAVY,SPACE AND NAVAL WARFARE SYSTEMS,11364531,2012,"GENERAL DYNAMICS C4 SYSTEMS, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2011,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2011,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2011,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2011,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2011,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2011,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2012,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2012,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2012,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2012,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2012,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2012,"CARDINAL HEALTH, INC."
DOD,90999996416,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,801423062,2012,"CARDINAL HEALTH, INC."
DOD,89999998976,CALIFORNIA,USA,13,DEPT OF THE NAVY,NAVY-MARINE CORPS PUBLIC HEALTH CTR,122153799,2012,MICROGENICS CORP
DOD,86000001024,CALIFORNIA,USA,50,DEPT OF THE NAVY,NAVAL MEDICAL CENTER PORTSMOUTH VA,801218087,2011,"CARDINAL HEALTH SOLUTIONS, INC."
DOD,84003300000,NEW YORK,USA,17,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,131695629,2011,DHS SYSTEMS LLC
DOD,77700000000,CALIFORNIA,USA,15,DEPT OF THE NAVY,NAVAL MEDICAL CENTER SAN DIEGO CA,927588897,2012,ABBOTT LABORATORIES
DOD,70000001024,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7914906,2011,AMERISOURCEBERGEN DRUG CORPORATION
DOD,70000001024,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7914906,2011,AMERISOURCEBERGEN DRUG CORPORATION
DOD,70000001024,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7914906,2011,AMERISOURCEBERGEN DRUG CORPORATION
DOD,70000001024,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7914906,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,70000001024,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7914906,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,70000001024,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7914906,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,70000001024,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7914906,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,70000001024,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7914906,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,70000001024,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7914906,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,62899998720,MISSOURI,USA,1,DEFENSE LOGISTICS AGENCY,DLA AVIATION,6265946,2011,MCDONNELL DOUGLAS CORPORATION
